,image_src.1.100.,price(ETH),price(USD),name,imageCode,currentOwner,amount,transaction_date
11,https://www.larvalabs.com/public/images/cryptopunks/punk9828.png,64.95,217.62K,CryptoPunk 9828,9828,punksotc…,"64.95  ($219625),67.95  ($239306),68.95  ($262383),69.95  ($266440),71.95  ($266236),69.95  ($270511),71.95  ($292920),59  ($240133),69.95  ($282774),71.95  ($295354),64.80  ($266003),59  ($242270),64.80  ($266086),145  ($461631),185  ($600453),145  ($469142),135  ($436787),135  ($449352),250  ($837160),95  ($309316),85  ($256919),77.77  ($242695),95  ($291149),117  ($328644),58.97  ($165642),58.97  ($165271),43.50  ($113065),43.50  ($113070),54.50  ($146122),3.15  ($745),1.50  ($300),1.50  ($300),1.89  ($403),1.99  ($377),2.99  ($427),1.20  ($172),0.80  ($111),0.80  ($111),0.40  ($109),0.40  ($109),1.20  ($242)","Jan 12, 2022,Jan 06, 2022,Jan 05, 2022,Jan 04, 2022,Jan 01, 2022,Dec 28, 2021,Dec 26, 2021,Dec 25, 2021,Dec 25, 2021,Dec 24, 2021,Dec 24, 2021,Dec 24, 2021,Dec 24, 2021,Aug 30, 2021,Aug 28, 2021,Aug 28, 2021,Aug 28, 2021,Aug 23, 2021,Aug 23, 2021,Aug 21, 2021,Aug 12, 2021,Aug 12, 2021,Aug 07, 2021,Aug 06, 2021,Aug 06, 2021,Aug 05, 2021,Aug 03, 2021,Aug 02, 2021,Aug 01, 2021,Jun 14, 2020,May 15, 2020,May 15, 2020,Apr 29, 2020,Apr 23, 2020,Jan 13, 2020,Jan 13, 2020,Jan 06, 2020,Jan 05, 2020,Jun 20, 2019,Jun 20, 2019,Jul 31, 2017"
12,https://www.larvalabs.com/public/images/cryptopunks/punk5790.png,64.99,217.75K,CryptoPunk 5790,5790,0x74be0a,"64.99  ($219760),74.99  ($305203),69.99  ($287159),57.70  ($230221),57.70  ($229691),61  ($237832),64  ($258919),67  ($256822),84  ($341468)","Jan 12, 2022,Dec 26, 2021,Dec 24, 2021,Dec 19, 2021,Dec 19, 2021,Dec 17, 2021,Dec 16, 2021,Dec 13, 2021,Dec 13, 2021"
13,https://www.larvalabs.com/public/images/cryptopunks/punk1139.png,65,217.79K,CryptoPunk 1139,1139,emilysno…,"65  ($217350),77  ($257266),99.88  ($426936),97  ($414626),97  ($422063),99.88  ($432004),101.99  ($440448),101.99  ($449598),105  ($453909),120  ($503458),135  ($558756),200  ($717660),97  ($348065),97  ($336230),97  ($286164),50.80  ($148739),50.80  ($153373),52.40  ($156979),72  ($224605),52.40  ($163400),61  ($177529),72  ($210236),123  ($339772),90  ($253860),50  ($141033),50  ($139807)","Jan 13, 2022,Jan 13, 2022,Nov 24, 2021,Nov 24, 2021,Nov 23, 2021,Nov 23, 2021,Oct 30, 2021,Oct 29, 2021,Oct 29, 2021,Oct 25, 2021,Oct 25, 2021,Sep 16, 2021,Sep 16, 2021,Sep 15, 2021,Aug 09, 2021,Aug 09, 2021,Aug 09, 2021,Aug 08, 2021,Aug 08, 2021,Aug 08, 2021,Aug 06, 2021,Aug 06, 2021,Aug 06, 2021,Aug 06, 2021,Aug 06, 2021,Aug 05, 2021"
14,https://www.larvalabs.com/public/images/cryptopunks/punk9713.png,65,217.79K,CryptoPunk 9713,9713,0xaab694,"65  ($219128),127  ($490455),260  ($830029),78.99  ($263333),78.99  ($250146),99.99  ($262811),49.99  ($125387),35.99  ($87881),24.99  ($53482),25.99  ($66119),18.95  ($29014),18.95  ($28780),32.45  ($52804),17.79  ($33756),1.20  ($465),1.20  ($465)","Jan 12, 2022,Oct 16, 2021,Aug 29, 2021,Aug 23, 2021,Aug 22, 2021,Aug 04, 2021,Aug 03, 2021,Jul 30, 2021,Jul 11, 2021,Apr 22, 2021,Mar 05, 2021,Mar 05, 2021,Feb 23, 2021,Feb 18, 2021,Sep 13, 2020,Sep 13, 2020"
15,https://www.larvalabs.com/public/images/cryptopunks/punk3836.png,65.95,220.97K,CryptoPunk 3836,3836,punksotc…,"65.95  ($223007),67.95  ($214797),60  ($190561),60  ($190561),75  ($284325),152  ($493225),152  ($493345),147  ($477163),122  ($396013),122  ($396652),100  ($332853),80  ($246110),5.50  ($16152),55  ($161521),5.50  ($16146),55  ($160597),65  ($181171),24  ($37266),24  ($32301)","Jan 12, 2022,Jan 10, 2022,Jan 10, 2022,Jan 10, 2022,Jan 03, 2022,Aug 28, 2021,Aug 28, 2021,Aug 28, 2021,Aug 28, 2021,Aug 28, 2021,Aug 23, 2021,Aug 07, 2021,Aug 06, 2021,Aug 06, 2021,Aug 06, 2021,Aug 06, 2021,Aug 06, 2021,Mar 02, 2021,Feb 28, 2021"
16,https://www.larvalabs.com/public/images/cryptopunks/punk0983.png,66,221.14K,CryptoPunk 983,983,bonehead…,"60  ($186734),66  ($208897),165  ($756343),150  ($717038),250  ($857513),165  ($477234),135  ($521444),110  ($434950),125  ($443142),135  ($464277),150  ($512574),155  ($494825),175  ($558673),250  ($809878),148  ($480704),148  ($480362)","Jan 11, 2022,Jan 07, 2022,Nov 14, 2021,Nov 09, 2021,Oct 02, 2021,Sep 26, 2021,Sep 05, 2021,Sep 03, 2021,Sep 01, 2021,Sep 01, 2021,Aug 31, 2021,Aug 29, 2021,Aug 29, 2021,Aug 28, 2021,Aug 28, 2021,Aug 28, 2021"
17,https://www.larvalabs.com/public/images/cryptopunks/punk9103.png,66.2,221.81K,CryptoPunk 9103,9103,breakfre…,"62  ($209576),62  ($200294),66.20  ($251918),60  ($240229),60  ($244089),55  ($223494),57.50  ($232097),57.50  ($233953),62  ($252262),106  ($397389),106  ($397389),149.50  ($460562),99.90  ($362211),99.90  ($349475),95  ($370433),95  ($367882),105  ($390658),126  ($398820),125  ($395655),142.90  ($457540),147.90  ($472150),169.69  ($547167),147.90  ($477260),150  ($486842),133.33  ($432515),105  ($339771),115  ($372335),130  ($433610),69.69  ($204291),100  ($280892),60  ($151897),45  ($113923),41  ($103796),37.90  ($100713),37.90  ($147251),21.50  ($46101),20.25  ($43421),21.50  ($46101),20.25  ($41967),20  ($32618),20  ($31022),24  ($35891),14.50  ($27838)","Jan 12, 2022,Jan 11, 2022,Jan 05, 2022,Dec 16, 2021,Dec 16, 2021,Dec 16, 2021,Dec 16, 2021,Dec 15, 2021,Dec 15, 2021,Oct 19, 2021,Oct 19, 2021,Sep 23, 2021,Sep 16, 2021,Sep 09, 2021,Sep 05, 2021,Sep 05, 2021,Sep 01, 2021,Aug 30, 2021,Aug 30, 2021,Aug 29, 2021,Aug 29, 2021,Aug 28, 2021,Aug 28, 2021,Aug 28, 2021,Aug 28, 2021,Aug 27, 2021,Aug 27, 2021,Aug 24, 2021,Aug 09, 2021,Aug 06, 2021,Aug 03, 2021,Aug 03, 2021,Aug 03, 2021,Aug 01, 2021,May 14, 2021,Apr 10, 2021,Apr 10, 2021,Apr 10, 2021,Apr 09, 2021,Mar 03, 2021,Mar 03, 2021,Feb 26, 2021,Feb 19, 2021"
18,https://www.larvalabs.com/public/images/cryptopunks/punk5358.png,66.66,223.35K,CryptoPunk 5358,5358,0xc480fb,"60.02  ($202883),60  ($186734),66.66  ($212479),72.72  ($276498),0.06  ($155),0.06  ($156),0  ($18)","Jan 12, 2022,Jan 11, 2022,Jan 07, 2022,Jan 02, 2022,Aug 02, 2021,Aug 01, 2021,Mar 21, 2021"
19,https://www.larvalabs.com/public/images/cryptopunks/punk7484.png,66.69,223.45K,CryptoPunk 7484,7484,0x422fac,"60  ($186734),66.69  ($211809),75  ($306233),88.88  ($369180),125  ($588246),180.08  ($591549),139.99  ($443004),159.99  ($519196),150.80  ($487542),99.99  ($333812),80.08  ($222055),50  ($122965),40  ($85539),40  ($61576),33  ($58845),34.56  ($67736),30  ($52531),6.94  ($2484),6.94  ($1635),4.34  ($1176),0.90  ($244),0.90  ($253),1.10  ($295),1.35  ($312),1.75  ($391),5  ($718),1.95  ($274),1.40  ($198),0.78  ($107),0.78  ($106),0.95  ($127),0.50  ($134),0.50  ($134)","Jan 11, 2022,Jan 10, 2022,Dec 24, 2021,Dec 10, 2021,Nov 10, 2021,Oct 02, 2021,Aug 30, 2021,Aug 28, 2021,Aug 26, 2021,Aug 24, 2021,Aug 06, 2021,Jul 31, 2021,Jul 09, 2021,Feb 23, 2021,Feb 22, 2021,Feb 21, 2021,Feb 16, 2021,Sep 28, 2020,Jun 01, 2020,Feb 16, 2020,Feb 16, 2020,Feb 15, 2020,Feb 13, 2020,Feb 11, 2020,Feb 11, 2020,Jan 12, 2020,Jan 07, 2020,Jan 06, 2020,Jan 05, 2020,Jan 05, 2020,Jan 04, 2020,Jul 13, 2019,Jul 13, 2019"
20,https://www.larvalabs.com/public/images/cryptopunks/punk0197.png,66.69,223.45K,CryptoPunk 197,197,0xa438dd,"66.69  ($254875),67.69  ($256886),68.99  ($266453),65  ($242430),65  ($242430),68.69  ($251702),64  ($234516),64  ($234516),64  ($231750),65  ($244084),63  ($236574),66  ($248206),63  ($237804),66.50  ($251016),71  ($276904),79  ($341311),69.50  ($284385),69.50  ($284385),69.95  ($286730),67  ($274638),70.95  ($310975),72.95  ($332783),73.95  ($333821),70  ($315990),70  ($315990),113.95  ($411579),116.90  ($421297)","Jan 04, 2022,Jan 04, 2022,Jan 04, 2022,Dec 30, 2021,Dec 30, 2021,Dec 30, 2021,Dec 30, 2021,Dec 30, 2021,Dec 30, 2021,Dec 29, 2021,Dec 29, 2021,Dec 29, 2021,Dec 29, 2021,Dec 29, 2021,Dec 17, 2021,Dec 07, 2021,Dec 04, 2021,Dec 04, 2021,Dec 04, 2021,Dec 04, 2021,Dec 03, 2021,Dec 03, 2021,Dec 03, 2021,Dec 03, 2021,Dec 03, 2021,Oct 08, 2021,Oct 07, 2021"
