,name,amount,
587,CryptoPunk 1454,72.95,"($269,936)"
588,CryptoPunk 1454,69,"($255,320)"
589,CryptoPunk 1454,69,"($262,920)"
590,CryptoPunk 1454,65,"($210,701)"
591,CryptoPunk 1454,99,"($308,714)"
592,CryptoPunk 1454,52,"($144,357)"
593,CryptoPunk 1454,56.9,"($157,779)"
594,CryptoPunk 1454,52,"($144,373)"
595,CryptoPunk 1454,56.9,"($157,978)"
596,CryptoPunk 1454,63.9,"($177,144)"
597,CryptoPunk 1454,58.69,"($162,124)"
598,CryptoPunk 1454,50,"($138,846)"
599,CryptoPunk 1454,50,"($134,501)"
600,CryptoPunk 1454,47,"($127,536)"
601,CryptoPunk 1454,45,"($121,031)"
602,CryptoPunk 1454,41.5,"($104,290)"
603,CryptoPunk 1454,35.95,"($94,124)"
604,CryptoPunk 1454,38.9,"($100,406)"
605,CryptoPunk 1454,38.9,"($100,406)"
606,CryptoPunk 1454,34,"($89,150)"
607,CryptoPunk 1454,34,"($89,150)"
608,CryptoPunk 1454,35.99,"($94,368)"
609,CryptoPunk 1454,37,"($94,898)"
610,CryptoPunk 1454,32,"($81,616)"
611,CryptoPunk 1454,32,"($69,061)"
612,CryptoPunk 1454,29,"($75,146)"
613,CryptoPunk 1454,32,"($126,506)"
614,CryptoPunk 1454,34,"($63,114)"
615,CryptoPunk 1454,25,"($38,429)"
616,CryptoPunk 1454,25,"($38,429)"
617,CryptoPunk 1454,26.5,"($35,665)"
618,CryptoPunk 1454,9.5,"($17,277)"
619,CryptoPunk 1454,9.5,"($17,469)"
620,CryptoPunk 6608,68,"($207,904)"
621,CryptoPunk 6608,80,"($274,901)"
622,CryptoPunk 6608,100,"($411,724)"
623,CryptoPunk 6608,100,"($407,237)"
624,CryptoPunk 6608,400,($1.29M)
625,CryptoPunk 6608,1.5,($573)
626,CryptoPunk 6608,1.5,($582)
627,CryptoPunk 6608,1.25,($286)
628,CryptoPunk 6608,1.5,($343)
629,CryptoPunk 6608,1.25,($290)
630,CryptoPunk 6608,1.99,($447)
631,CryptoPunk 6608,1.3,($295)
632,CryptoPunk 6608,1.3,($305)
633,CryptoPunk 6608,2.49,($583)
634,CryptoPunk 6608,2.99,($610)
635,CryptoPunk 6608,0.5,($103)
636,CryptoPunk 6608,2.49,($524)
637,CryptoPunk 6608,0.5,($95)
638,CryptoPunk 6608,1.45,($276)
639,CryptoPunk 6608,1.49,($292)
640,CryptoPunk 6608,2,($433)
641,CryptoPunk 6608,0.4,($118)
642,CryptoPunk 6608,0.4,($118)
643,CryptoPunk 2150,68,"($205,731)"
644,CryptoPunk 2150,22.67,"($41,185)"
645,CryptoPunk 2150,22.67,"($41,101)"
646,CryptoPunk 2150,12,"($20,515)"
647,CryptoPunk 2150,12,"($21,710)"
648,CryptoPunk 8762,61,"($206,196)"
649,CryptoPunk 8762,61,"($197,374)"
650,CryptoPunk 8762,68.5,"($209,542)"
651,CryptoPunk 8762,197,"($694,545)"
652,CryptoPunk 8762,15.94,"($27,698)"
653,CryptoPunk 8762,15.94,"($29,255)"
654,CryptoPunk 8762,14.99,"($29,537)"
655,CryptoPunk 8762,13.75,"($27,565)"
656,CryptoPunk 8762,13.5,"($27,064)"
657,CryptoPunk 8762,13.5,"($27,040)"
658,CryptoPunk 8762,13,"($26,038)"
659,CryptoPunk 8762,13.75,"($26,246)"
660,CryptoPunk 8762,13,"($23,145)"
661,CryptoPunk 8762,13.5,"($24,035)"
662,CryptoPunk 8762,13.5,"($26,561)"
663,CryptoPunk 8762,12,"($22,508)"
664,CryptoPunk 8762,14.25,"($26,728)"
665,CryptoPunk 8762,17,"($41,377)"
666,CryptoPunk 7271,68.95,"($208,268)"
667,CryptoPunk 7271,60,"($183,913)"
668,CryptoPunk 7271,60,"($183,913)"
669,CryptoPunk 7271,65,"($195,098)"
670,CryptoPunk 7271,21.25,"($45,544)"
671,CryptoPunk 7271,18.75,"($41,717)"
672,CryptoPunk 7271,18.75,"($41,717)"
673,CryptoPunk 7271,15,"($34,228)"
674,CryptoPunk 7271,15,"($35,429)"
675,CryptoPunk 7271,21.25,"($40,543)"
676,CryptoPunk 7271,24,"($91,468)"
677,CryptoPunk 7271,24.5,"($85,374)"
678,CryptoPunk 7271,26.5,"($89,477)"
679,CryptoPunk 7271,27.5,"($79,056)"
680,CryptoPunk 7271,31,"($66,664)"
681,CryptoPunk 7271,34.98,"($62,141)"
682,CryptoPunk 7271,25.8,"($46,628)"
683,CryptoPunk 7271,25.8,"($46,590)"
684,CryptoPunk 7271,28.7,"($53,088)"
685,CryptoPunk 7271,32.7,"($59,083)"
686,CryptoPunk 7271,22,"($33,735)"
687,CryptoPunk 7271,22,"($32,937)"
688,CryptoPunk 7271,22,"($31,983)"
689,CryptoPunk 7271,22,"($32,377)"
690,CryptoPunk 7271,25,"($36,792)"
691,CryptoPunk 7271,4.55,"($6,290)"
692,CryptoPunk 7271,4.75,"($4,915)"
693,CryptoPunk 7271,4.75,"($5,181)"
694,CryptoPunk 7271,4.55,"($5,487)"
695,CryptoPunk 7271,4.97,"($5,850)"
696,CryptoPunk 7271,5.55,"($6,668)"
697,CryptoPunk 7271,4.55,"($5,428)"
698,CryptoPunk 7271,10,"($3,370)"
699,CryptoPunk 9247,68.95,"($233,151)"
700,CryptoPunk 9247,69.95,"($246,349)"
701,CryptoPunk 9247,62.9,"($235,002)"
702,CryptoPunk 9247,62.9,"($235,002)"
703,CryptoPunk 9247,19,"($34,661)"
704,CryptoPunk 9247,19.5,"($35,573)"
705,CryptoPunk 9247,19.5,"($35,573)"
706,CryptoPunk 9247,19,"($34,642)"
707,CryptoPunk 9247,19.75,"($36,243)"
708,CryptoPunk 9247,19.99,"($36,393)"
709,CryptoPunk 9247,20.5,"($37,569)"
710,CryptoPunk 9247,20.99,"($37,019)"
711,CryptoPunk 9247,21.5,"($37,478)"
712,CryptoPunk 9247,19,"($33,120)"
713,CryptoPunk 9247,22,"($38,401)"
714,CryptoPunk 9247,19,"($33,067)"
715,CryptoPunk 9247,23,"($38,051)"
716,CryptoPunk 9247,26,"($41,369)"
717,CryptoPunk 9247,55,"($82,150)"
718,CryptoPunk 9247,15,"($29,040)"
719,CryptoPunk 9247,30,"($58,080)"
720,CryptoPunk 9247,15,"($29,161)"
721,CryptoPunk 9247,0.05,($14)
722,CryptoPunk 9247,0.05,($13)
723,CryptoPunk 9967,69,"($262,821)"
724,CryptoPunk 9967,74,"($280,832)"
725,CryptoPunk 9967,86,"($373,441)"
726,CryptoPunk 9967,60,"($247,573)"
727,CryptoPunk 9967,60,"($254,260)"
728,CryptoPunk 9967,69.42,"($286,562)"
729,CryptoPunk 9967,89,"($400,620)"
730,CryptoPunk 9967,96,"($423,532)"
731,CryptoPunk 9967,69,"($228,151)"
732,CryptoPunk 9967,69,"($231,278)"
733,CryptoPunk 9967,67.67,"($226,137)"
734,CryptoPunk 9967,67.67,"($226,137)"
735,CryptoPunk 9967,65.65,"($219,387)"
736,CryptoPunk 9967,65.65,"($219,387)"
737,CryptoPunk 9967,68.68,"($229,512)"
738,CryptoPunk 9967,67.67,"($226,137)"
739,CryptoPunk 9967,68.68,"($229,512)"
740,CryptoPunk 9967,69.69,"($232,887)"
741,CryptoPunk 9967,53.5,"($174,194)"
742,CryptoPunk 9967,55,"($175,857)"
743,CryptoPunk 9967,50,"($156,456)"
744,CryptoPunk 9967,50,"($157,315)"
745,CryptoPunk 9967,58,"($182,358)"
746,CryptoPunk 9967,60,"($162,217)"
747,CryptoPunk 9967,40,"($98,340)"
748,CryptoPunk 9967,35,"($85,280)"
749,CryptoPunk 9967,30,"($69,821)"
750,CryptoPunk 9967,24.5,"($61,081)"
751,CryptoPunk 4162,69,"($226,299)"
752,CryptoPunk 4162,85,"($381,697)"
753,CryptoPunk 4162,69,"($230,581)"
754,CryptoPunk 4162,69,"($209,814)"
755,CryptoPunk 4162,22,"($83,846)"
756,CryptoPunk 4162,22,"($76,302)"
757,CryptoPunk 4162,24,"($80,807)"
758,CryptoPunk 4162,4,"($1,401)"
759,CryptoPunk 4162,2,($753)
760,CryptoPunk 4162,1.4,($531)
761,CryptoPunk 4162,1.4,($310)
762,CryptoPunk 2521,64,"($236,532)"
763,CryptoPunk 2521,64,"($242,624)"
764,CryptoPunk 2521,69.25,"($263,915)"
765,CryptoPunk 2521,69.6,"($285,455)"
766,CryptoPunk 2521,72.69,"($294,884)"
767,CryptoPunk 2521,77.7,"($316,021)"
768,CryptoPunk 2521,108,"($430,815)"
769,CryptoPunk 2521,109.69,"($429,105)"
770,CryptoPunk 2521,44,"($133,280)"
771,CryptoPunk 2521,44,"($139,043)"
772,CryptoPunk 2521,22,"($64,849)"
773,CryptoPunk 749,62.5,"($241,590)"
774,CryptoPunk 749,62.5,"($235,267)"
775,CryptoPunk 749,62,"($233,625)"
776,CryptoPunk 749,61,"($229,857)"
777,CryptoPunk 749,69.5,"($280,455)"
778,CryptoPunk 749,73.42,"($313,774)"
779,CryptoPunk 749,8.44,"($37,390)"
780,CryptoPunk 749,8.44,"($36,774)"
781,CryptoPunk 749,84.42,"($340,202)"
782,CryptoPunk 749,175,"($567,996)"
783,CryptoPunk 749,50.49,"($146,241)"
784,CryptoPunk 749,53.75,"($148,822)"
785,CryptoPunk 749,45,"($127,172)"
786,CryptoPunk 749,45,"($158,108)"
787,CryptoPunk 749,29.99,"($54,767)"
788,CryptoPunk 749,29.99,"($57,015)"
789,CryptoPunk 6620,69.69,"($234,435)"
790,CryptoPunk 6620,79.99,"($334,790)"
791,CryptoPunk 6620,148.99,"($481,983)"
792,CryptoPunk 6620,129.98,"($377,042)"
793,CryptoPunk 6620,101.5,"($363,716)"
794,CryptoPunk 6620,90,"($297,643)"
795,CryptoPunk 6620,90,"($298,575)"
796,CryptoPunk 6620,101.5,"($347,836)"
797,CryptoPunk 6620,120.9,"($426,180)"
798,CryptoPunk 6620,142.87,"($453,357)"
799,CryptoPunk 6620,98.9,"($331,580)"
800,CryptoPunk 6620,98.9,"($326,523)"
801,CryptoPunk 6620,61.49,"($204,971)"
802,CryptoPunk 6620,61.49,"($193,644)"
803,CryptoPunk 6620,59.58,"($190,036)"
804,CryptoPunk 6620,62.9,"($200,625)"
805,CryptoPunk 6620,66.49,"($216,506)"
806,CryptoPunk 6620,69,"($223,760)"
807,CryptoPunk 6620,62.9,"($206,255)"
808,CryptoPunk 6620,68.9,"($223,532)"
809,CryptoPunk 6620,57.9,"($189,233)"
810,CryptoPunk 6620,59,"($192,828)"
811,CryptoPunk 6620,68.68,"($217,085)"
812,CryptoPunk 6620,53.99,"($164,905)"
813,CryptoPunk 6620,55.9,"($174,992)"
814,CryptoPunk 6620,56,"($180,899)"
815,CryptoPunk 6620,59,"($191,689)"
816,CryptoPunk 6620,66.2,"($199,396)"
817,CryptoPunk 6620,55.98,"($170,966)"
818,CryptoPunk 6620,55.98,"($171,599)"
819,CryptoPunk 6620,68.52,"($209,287)"
820,CryptoPunk 6620,66.85,"($183,564)"
821,CryptoPunk 6620,168.99,"($326,832)"
822,CryptoPunk 6620,24.99,"($52,517)"
823,CryptoPunk 6620,24.99,"($56,326)"
824,CryptoPunk 6620,18,"($37,173)"
825,CryptoPunk 6620,20.99,"($43,348)"
826,CryptoPunk 6620,18,"($35,548)"
827,CryptoPunk 6620,16,"($36,024)"
828,CryptoPunk 6620,16,"($36,670)"
829,CryptoPunk 6620,19.98,"($56,630)"
830,CryptoPunk 6620,16,"($45,678)"
831,CryptoPunk 6620,16.69,"($45,053)"
832,CryptoPunk 6620,16.69,"($45,053)"
833,CryptoPunk 6620,16,"($43,055)"
834,CryptoPunk 6620,17.99,"($47,107)"
835,CryptoPunk 6620,21.9,"($57,877)"
836,CryptoPunk 6620,27,"($68,990)"
837,CryptoPunk 6620,7.39,"($5,106)"
838,CryptoPunk 6620,7.39,"($4,683)"
839,CryptoPunk 6620,7.49,"($3,421)"
840,CryptoPunk 6620,7.79,"($3,201)"
841,CryptoPunk 6620,8.89,"($3,243)"
842,CryptoPunk 6620,9.55,"($3,568)"
843,CryptoPunk 6620,9.79,"($3,594)"
844,CryptoPunk 6620,5.5,"($1,941)"
845,CryptoPunk 6620,5.5,"($1,940)"
846,CryptoPunk 6620,5,"($1,768)"
847,CryptoPunk 6620,2,($474)
848,CryptoPunk 6620,2,($441)
849,CryptoPunk 6620,0.1,($60)
850,CryptoPunk 6620,0.1,($57)
851,CryptoPunk 5231,69.95,"($235,077)"
852,CryptoPunk 5231,71.69,"($232,555)"
853,CryptoPunk 5231,72.95,"($224,641)"
854,CryptoPunk 5231,74.94,"($236,385)"
855,CryptoPunk 5231,76.54,"($243,895)"
856,CryptoPunk 5231,77.77,"($272,844)"
857,CryptoPunk 5231,79.94,"($304,339)"
858,CryptoPunk 5231,82.69,"($311,480)"
859,CryptoPunk 5231,84.69,"($318,797)"
860,CryptoPunk 5231,88.69,"($330,665)"
861,CryptoPunk 5231,89.98,"($333,797)"
862,CryptoPunk 5231,96.69,"($359,823)"
863,CryptoPunk 5231,88.88,"($366,941)"
864,CryptoPunk 5231,80.69,"($331,232)"
865,CryptoPunk 5231,62.69,"($257,229)"
866,CryptoPunk 5231,73.69,"($303,424)"
867,CryptoPunk 5231,70.69,"($279,591)"
868,CryptoPunk 5231,67.69,"($269,418)"
869,CryptoPunk 5231,62.69,"($254,852)"
870,CryptoPunk 5231,69.69,"($281,014)"
871,CryptoPunk 5231,70,"($281,952)"
872,CryptoPunk 5231,71.69,"($272,097)"
873,CryptoPunk 5231,61,"($236,656)"
874,CryptoPunk 5231,61,"($241,445)"
875,CryptoPunk 5231,72.99,"($288,743)"
876,CryptoPunk 5231,74.95,"($295,111)"
877,CryptoPunk 5231,76.69,"($297,025)"
878,CryptoPunk 5231,77.77,"($314,249)"
879,CryptoPunk 5231,79.95,"($324,816)"
880,CryptoPunk 5231,82.95,"($333,318)"
881,CryptoPunk 5231,86.69,"($328,201)"
882,CryptoPunk 5231,88.88,"($336,590)"
883,CryptoPunk 5231,79.95,"($303,516)"
884,CryptoPunk 5231,81.99,"($310,877)"
885,CryptoPunk 5231,83.99,"($334,753)"
886,CryptoPunk 5231,89.99,"($365,818)"
887,CryptoPunk 5231,87.99,"($351,605)"
888,CryptoPunk 5231,88.88,"($370,678)"
889,CryptoPunk 5231,89.99,"($369,388)"
890,CryptoPunk 5231,93.99,"($388,881)"
891,CryptoPunk 5231,94.69,"($395,225)"
892,CryptoPunk 5231,99.99,"($406,144)"
893,CryptoPunk 5231,108.95,"($449,552)"
894,CryptoPunk 5231,114.69,"($476,575)"
895,CryptoPunk 5231,119.95,"($490,180)"
896,CryptoPunk 5231,155,"($644,802)"
897,CryptoPunk 5231,4.99,"($14,020)"
898,CryptoPunk 5231,4.99,"($14,020)"
899,CryptoPunk 5231,4.99,"($6,412)"
900,CryptoPunk 5231,4.99,"($6,290)"
901,CryptoPunk 5231,0.24,($65)
902,CryptoPunk 5231,0.24,($65)
903,CryptoPunk 2498,69.95,"($213,977)"
904,CryptoPunk 2498,74.95,"($284,921)"
905,CryptoPunk 2498,77.95,"($290,623)"
906,CryptoPunk 2498,74.95,"($280,546)"
907,CryptoPunk 2498,72.95,"($275,636)"
908,CryptoPunk 2498,66,"($269,017)"
909,CryptoPunk 2498,74.95,"($305,040)"
910,CryptoPunk 2498,71.95,"($290,938)"
911,CryptoPunk 2498,69.69,"($284,974)"
912,CryptoPunk 2498,66,"($267,666)"
913,CryptoPunk 2498,69.95,"($282,774)"
914,CryptoPunk 2498,72.95,"($297,214)"
915,CryptoPunk 2498,69.95,"($287,144)"
916,CryptoPunk 2498,67.95,"($277,454)"
917,CryptoPunk 2498,63.49,"($260,510)"
918,CryptoPunk 2498,63.49,"($260,512)"
919,CryptoPunk 2498,60.99,"($251,019)"
920,CryptoPunk 2498,57,"($234,131)"
921,CryptoPunk 2498,57,"($233,854)"
922,CryptoPunk 2498,56.22,"($231,490)"
923,CryptoPunk 2498,55,"($226,467)"
924,CryptoPunk 2498,54.5,"($224,408)"
925,CryptoPunk 2498,53.5,"($219,711)"
926,CryptoPunk 2498,53.3,"($210,926)"
927,CryptoPunk 2498,53.3,"($212,062)"
928,CryptoPunk 2498,58.94,"($234,592)"
929,CryptoPunk 2498,52.5,"($208,963)"
930,CryptoPunk 2498,52.5,"($208,963)"
931,CryptoPunk 2498,52,"($206,969)"
932,CryptoPunk 2498,51,"($202,997)"
933,CryptoPunk 2498,50,"($199,009)"
934,CryptoPunk 2498,70,"($284,569)"
935,CryptoPunk 2498,96.3,"($414,294)"
936,CryptoPunk 2498,140,"($651,584)"
937,CryptoPunk 2498,166.66,"($782,550)"
938,CryptoPunk 2498,300,($1.02M)
939,CryptoPunk 1281,69.95,"($213,977)"
940,CryptoPunk 1281,74.95,"($284,921)"
941,CryptoPunk 1281,77.95,"($290,623)"
942,CryptoPunk 1281,74.95,"($280,546)"
943,CryptoPunk 1281,72.95,"($275,636)"
944,CryptoPunk 1281,74.95,"($305,040)"
945,CryptoPunk 1281,71.95,"($290,938)"
946,CryptoPunk 1281,69.95,"($282,774)"
947,CryptoPunk 1281,72.95,"($297,214)"
948,CryptoPunk 1281,69.95,"($287,144)"
949,CryptoPunk 1281,67.95,"($278,810)"
950,CryptoPunk 1281,64.95,"($266,502)"
951,CryptoPunk 1281,63.95,"($262,626)"
952,CryptoPunk 1281,59.95,"($238,612)"
953,CryptoPunk 1281,52,"($206,969)"
954,CryptoPunk 1281,52,"($208,590)"
955,CryptoPunk 1281,70,"($281,286)"
956,CryptoPunk 1281,80,"($317,342)"
957,CryptoPunk 1281,90,"($387,191)"
958,CryptoPunk 1281,120,"($553,408)"
959,CryptoPunk 1281,0.01,($5)
960,CryptoPunk 1281,136,"($549,135)"
961,CryptoPunk 2376,69.95,"($244,734)"
962,CryptoPunk 2376,72.95,"($277,867)"
963,CryptoPunk 2376,69,"($258,024)"
964,CryptoPunk 2376,69,"($261,579)"
965,CryptoPunk 2376,73.95,"($280,625)"
966,CryptoPunk 2376,67,"($254,252)"
967,CryptoPunk 2376,67,"($255,299)"
968,CryptoPunk 2376,88,"($393,310)"
969,CryptoPunk 2376,19.5,"($49,669)"
970,CryptoPunk 2376,16.97,"($60,695)"
971,CryptoPunk 2376,16.97,"($60,695)"
972,CryptoPunk 2376,16,"($57,226)"
973,CryptoPunk 2376,16,"($60,646)"
974,CryptoPunk 2376,17.4,"($66,636)"
975,CryptoPunk 2376,19.2,"($71,728)"
976,CryptoPunk 2376,27,"($109,140)"
977,CryptoPunk 2376,0.01,($<0.01)
978,CryptoPunk 2376,0.1,($19)
979,CryptoPunk 2376,0.1,($43)
980,CryptoPunk 4560,70,"($221,327)"
981,CryptoPunk 4560,68,"($215,003)"
982,CryptoPunk 4560,72,"($226,084)"
983,CryptoPunk 4560,68,"($232,105)"
984,CryptoPunk 4560,72,"($261,112)"
985,CryptoPunk 4560,121,"($456,319)"
986,CryptoPunk 4560,31.7,"($46,222)"
987,CryptoPunk 4560,33.2,"($49,014)"
988,CryptoPunk 4560,44.2,"($71,557)"
989,CryptoPunk 4560,48.8,"($72,065)"
990,CryptoPunk 4560,51.4,"($79,010)"
991,CryptoPunk 4560,54.2,"($81,411)"
992,CryptoPunk 4560,59.8,"($90,145)"
993,CryptoPunk 4151,70,"($266,095)"
994,CryptoPunk 4151,80,"($294,005)"
995,CryptoPunk 4151,115,"($487,022)"
996,CryptoPunk 4151,115,"($488,968)"
997,CryptoPunk 4151,140,"($481,193)"
998,CryptoPunk 4151,101,"($326,888)"
999,CryptoPunk 4151,101,"($301,920)"
1000,CryptoPunk 4151,125,"($389,995)"
1001,CryptoPunk 4151,150,"($467,134)"
1002,CryptoPunk 4151,250,"($828,650)"
1003,CryptoPunk 4151,25,"($82,230)"
1004,CryptoPunk 4151,55,"($181,255)"
1005,CryptoPunk 4151,25,"($81,800)"
1006,CryptoPunk 4151,15,"($49,073)"
1007,CryptoPunk 4151,15,"($47,412)"
1008,CryptoPunk 4151,55,"($168,560)"
1009,CryptoPunk 4151,80,"($138,761)"
1010,CryptoPunk 4151,24,"($8,762)"
1011,CryptoPunk 4151,7,"($1,621)"
1012,CryptoPunk 4151,3.5,($621)
1013,CryptoPunk 4151,1,($544)
1014,CryptoPunk 4151,1,($544)
1015,CryptoPunk 4151,0.5,($305)
1016,CryptoPunk 6718,55,"($178,414)"
1017,CryptoPunk 6718,70,"($263,695)"
1018,CryptoPunk 6718,158.88,"($507,212)"
1019,CryptoPunk 6718,22.49,"($46,487)"
1020,CryptoPunk 6718,22.49,"($36,919)"
1021,CryptoPunk 6718,20,"($32,695)"
1022,CryptoPunk 6718,20,"($31,810)"
1023,CryptoPunk 6718,0.1,($47)
1024,CryptoPunk 6718,0.1,($41)
1025,CryptoPunk 5840,71,"($265,845)"
1026,CryptoPunk 5840,54,"($216,136)"
1027,CryptoPunk 5840,54,"($216,136)"
1028,CryptoPunk 5840,52,"($208,590)"
1029,CryptoPunk 5840,57,"($229,793)"
1030,CryptoPunk 5840,53,"($213,715)"
1031,CryptoPunk 5840,53,"($211,477)"
1032,CryptoPunk 5840,50.05,"($199,707)"
1033,CryptoPunk 5840,62,"($248,859)"
1034,CryptoPunk 5840,69,"($264,656)"
1035,CryptoPunk 5840,89,"($390,146)"
1036,CryptoPunk 5840,122,"($555,715)"
1037,CryptoPunk 5840,180,"($609,970)"
1038,CryptoPunk 5840,50,"($153,269)"
1039,CryptoPunk 5840,50,"($159,147)"
1040,CryptoPunk 5840,52,"($164,590)"
1041,CryptoPunk 5840,40,"($115,949)"
1042,CryptoPunk 5840,50.69,"($147,016)"
1043,CryptoPunk 5840,50.69,"($146,821)"
1044,CryptoPunk 5840,51.69,"($150,434)"
1045,CryptoPunk 5840,53.69,"($156,255)"
1046,CryptoPunk 5840,50,"($138,163)"
1047,CryptoPunk 5840,40,"($110,495)"
1048,CryptoPunk 5840,50,"($128,035)"
1049,CryptoPunk 5840,23.99,"($58,075)"
1050,CryptoPunk 5840,23.99,"($45,312)"
1051,CryptoPunk 5840,21.99,"($76,428)"
1052,CryptoPunk 5840,19.49,"($69,103)"
1053,CryptoPunk 5840,19.49,"($69,103)"
1054,CryptoPunk 5840,18,"($63,216)"
1055,CryptoPunk 5840,18,"($64,279)"
1056,CryptoPunk 5840,18,"($64,279)"
1057,CryptoPunk 5840,18,"($63,165)"
1058,CryptoPunk 5840,19.99,"($70,148)"
1059,CryptoPunk 5840,22.9,"($77,294)"
1060,CryptoPunk 5840,24.9,"($81,174)"
1061,CryptoPunk 5840,2.95,"($1,029)"
1062,CryptoPunk 5840,1.88,($690)
1063,CryptoPunk 5840,1.99,($735)
1064,CryptoPunk 5840,10,"($1,362)"
1065,CryptoPunk 5840,0.25,($38)
1066,CryptoPunk 5840,0.25,($38)
1067,CryptoPunk 5840,0.35,($64)
1068,CryptoPunk 5840,0.45,($83)
1069,CryptoPunk 5840,1,($269)
1070,CryptoPunk 1991,61,"($191,367)"
1071,CryptoPunk 1991,61,"($196,674)"
1072,CryptoPunk 1991,71.17,"($229,810)"
1073,CryptoPunk 1991,81.18,"($308,927)"
1074,CryptoPunk 1991,91.19,"($335,664)"
1075,CryptoPunk 1991,101,"($408,843)"
1076,CryptoPunk 1991,119.9,"($483,344)"
1077,CryptoPunk 1991,225.25,"($804,161)"
1078,CryptoPunk 1991,49,"($121,939)"
1079,CryptoPunk 1991,34,"($84,611)"
1080,CryptoPunk 1991,39.5,"($98,298)"
1081,CryptoPunk 1991,34,"($84,611)"
1082,CryptoPunk 1991,32.5,"($79,517)"
1083,CryptoPunk 1991,32.5,"($79,901)"
1084,CryptoPunk 1991,39.5,"($96,418)"
1085,CryptoPunk 1991,35.69,"($87,151)"
1086,CryptoPunk 1991,34.5,"($81,010)"
1087,CryptoPunk 1991,32.98,"($64,403)"
1088,CryptoPunk 1991,35,"($74,396)"
1089,CryptoPunk 1991,50,"($123,089)"
1090,CryptoPunk 1991,25,"($57,949)"
1091,CryptoPunk 1991,25,"($57,949)"
1092,CryptoPunk 1991,25,"($57,949)"
1093,CryptoPunk 1991,25,"($57,949)"
1094,CryptoPunk 1991,25,"($57,949)"
1095,CryptoPunk 1991,35,"($55,208)"
1096,CryptoPunk 1991,29.99,"($44,384)"
1097,CryptoPunk 1991,29.99,"($44,842)"
1098,CryptoPunk 1991,37.77,"($62,141)"
1099,CryptoPunk 1991,25,"($40,646)"
1100,CryptoPunk 1991,25,"($40,330)"
1101,CryptoPunk 1991,0.15,($41)
1102,CryptoPunk 1991,0.15,($41)
1103,CryptoPunk 1991,0.05,($13)
1104,CryptoPunk 2210,45,"($182,733)"
1105,CryptoPunk 2210,45,"($184,725)"
1106,CryptoPunk 2210,71.94,"($294,078)"
1107,CryptoPunk 2210,0.1,($455)
1108,CryptoPunk 2210,0.1,($453)
1109,CryptoPunk 2210,121.94,"($457,147)"
1110,CryptoPunk 2210,21.94,"($55,069)"
1111,CryptoPunk 2210,21.94,"($56,361)"
1112,CryptoPunk 2210,24.88,"($45,678)"
1113,CryptoPunk 2210,29.85,"($49,457)"
1114,CryptoPunk 2210,24,"($46,032)"
1115,CryptoPunk 2210,24,"($46,345)"
1116,CryptoPunk 2210,22,"($40,011)"
1117,CryptoPunk 2210,15,"($5,458)"
1118,CryptoPunk 2210,10,"($3,399)"
1119,CryptoPunk 2210,3.5,"($1,301)"
1120,CryptoPunk 2210,2.5,($338)
1121,CryptoPunk 2210,1.5,($207)
1122,CryptoPunk 2210,0.52,($113)
1123,CryptoPunk 2210,0.52,($99)
1124,CryptoPunk 1817,72,"($231,825)"
1125,CryptoPunk 1817,127,"($499,951)"
1126,CryptoPunk 1817,270,"($876,455)"
1127,CryptoPunk 1817,150,"($396,240)"
1128,CryptoPunk 1817,66.6,"($173,510)"
1129,CryptoPunk 1817,25,"($53,191)"
1130,CryptoPunk 1817,25,"($55,599)"
1131,CryptoPunk 1817,66.6,"($120,366)"
1132,CryptoPunk 1817,42,"($75,545)"
1133,CryptoPunk 1817,21,"($33,968)"
1134,CryptoPunk 9857,72,"($218,932)"
1135,CryptoPunk 9857,54,"($219,089)"
1136,CryptoPunk 9857,54,"($220,487)"
1137,CryptoPunk 9857,65,"($247,268)"
1138,CryptoPunk 9857,78,"($315,241)"
1139,CryptoPunk 9857,100,"($390,327)"
1140,CryptoPunk 3588,72.5,"($230,261)"
1141,CryptoPunk 3588,79.99,"($326,607)"
1142,CryptoPunk 3588,88.88,"($354,622)"
1143,CryptoPunk 3588,188.88,"($611,114)"
1144,CryptoPunk 3588,150.8,"($487,542)"
1145,CryptoPunk 3588,88.88,"($248,748)"
1146,CryptoPunk 3588,56.66,"($147,271)"
1147,CryptoPunk 3588,33,"($58,845)"
1148,CryptoPunk 3588,80,"($140,083)"
1149,CryptoPunk 3588,2.79,($953)
1150,CryptoPunk 3588,2,($770)
1151,CryptoPunk 3588,3,"($1,135)"
1152,CryptoPunk 3588,2.2,($827)
1153,CryptoPunk 3588,2.2,($824)
1154,CryptoPunk 3588,10,"($1,363)"
1155,CryptoPunk 3588,0.25,($38)
1156,CryptoPunk 3588,0.25,($38)
1157,CryptoPunk 3588,0.25,($38)
1158,CryptoPunk 3588,0.25,($38)
1159,CryptoPunk 3588,0.4,($74)
1160,CryptoPunk 3588,0.5,($153)
1161,CryptoPunk 3588,0.4,($118)
1162,CryptoPunk 7824,72.69,"($270,404)"
1163,CryptoPunk 7824,74.74,"($301,400)"
1164,CryptoPunk 7824,77.2,"($316,569)"
1165,CryptoPunk 7824,56.56,"($232,324)"
1166,CryptoPunk 7824,56.56,"($233,969)"
1167,CryptoPunk 7824,57.52,"($227,501)"
1168,CryptoPunk 7824,52.75,"($208,635)"
1169,CryptoPunk 7824,58.58,"($231,694)"
